c_cropkey,c_name,c_scientific,c_daystomature,c_seasonkey,c_ph,c_germ,c_water,c_nutrientuse
1,"Almond","Prunus dulcis",365,4,6.50,85.00,715,"High nitrogen and potassium demand; perennial orchard crop"
2,"Pistachio","Pistacia vera",365,4,7.00,80.00,650,"Deep-rooted; moderate N, high K and micronutrients"
3,"Tomato","Solanum lycopersicum",90,2,6.20,90.00,600,"Heavy feeder requiring regular NPK applications"
4,"Alfalfa","Medicago sativa",180,1,6.00,88.00,500,"Nitrogen-fixing legume; moderate P and K demand"
5,"Rice","Oryza sativa",150,2,6.00,95.00,700,"High water requirement; needs good P and K supply"
6,"Table Grape","Vitis vinifera",120,2,6.50,85.00,450,"Moderate nutrient needs; balanced long-term feeding"
7,"Walnut","Juglans regia",365,4,6.80,80.00,600,"Long-term orchard tree; steady N and K required"
8,"Strawberry","Fragaria x ananassa",80,2,5.80,92.00,550,"High nutrient demand; strong P early, K late"
9,"Lettuce","Lactuca sativa",50,1,6.00,92.00,450,"Moderate N demand; low P and K"
10,"Cotton","Gossypium hirsutum",160,2,6.30,88.00,650,"High K requirement during boll development"
11,"Avocado","Persea americana",365,1,6.50,85.00,800,"High nutrient and water demand; sensitive to salinity"
12,"Orange","Citrus sinensis",300,4,6.50,82.00,620,"High N demand; sensitive to micronutrient deficiencies"
13,"Lemon","Citrus limon",300,4,6.00,82.00,650,"High feeding tree; requires regular micronutrient additions"
14,"Broccoli","Brassica oleracea var. italica",70,3,6.30,93.00,500,"Heavy feeder; strong N requirement"
15,"Cauliflower","Brassica oleracea var. botrytis",75,3,6.30,90.00,520,"Very heavy N feeder; benefits from boron"
16,"Spinach","Spinacia oleracea",45,1,6.40,94.00,450,"Moderate feeder; high N early in growth"
17,"Carrot","Daucus carota",75,3,6.20,90.00,400,"Light to moderate feeder; prefers friable soil"
18,"Onion","Allium cepa",100,1,6.00,88.00,550,"Moderate N early; higher K during bulb formation"
19,"Garlic","Allium sativum",150,3,6.50,87.00,550,"Moderate nutrient needs; slightly higher P for bulb size"
20,"Bell Pepper","Capsicum annuum",75,2,6.20,90.00,600,"High N and K requirement; responsive to fertilization"
21,"Cantaloupe","Cucumis melo",80,2,6.10,88.00,500,"Moderate feeder; increased K improves sweetness"
22,"Watermelon","Citrullus lanatus",90,2,6.30,90.00,550,"Moderate feeding vine; high K demand"
23,"Corn (Field)","Zea mays",120,2,6.00,92.00,600,"Very heavy N feeder; needs consistent fertility"
24,"Sweet Corn","Zea mays var. saccharata",80,2,6.20,92.00,550,"Heavy feeder; strong N requirement"
25,"Wheat","Triticum aestivum",120,4,6.40,90.00,450,"Moderate nutrient demand; benefits from N at tillering"
26,"Barley","Hordeum vulgare",90,4,6.30,88.00,420,"Moderate feeder; tolerates lower fertility"
27,"Oats","Avena sativa",100,4,6.00,90.00,450,"Moderate N requirement; lower P and K needs"
28,"Sunflower","Helianthus annuus",110,2,6.50,85.00,500,"Moderate feeder; needs adequate boron"
29,"Blueberry","Vaccinium corymbosum",150,1,5.00,85.00,600,"Requires acidic soils; strong need for organic matter"
30,"Olive","Olea europaea",365,2,7.00,80.00,500,"Low to moderate feeder; tolerant but responds to N"